Timestamp,User,IP,Action,Query_Count,Session_ID,Anomalie
2026-01-20 08:00:46+00:00,p.leroy ,163.226.162.17 ,SEARCH ,0,SID591236,IP externe suspecte
2026-01-20 08:05:13+00:00,t.simon ,190.212.219.128 ,LOGOUT ,0,SID151369,IP externe suspecte
2026-01-20 08:07:20+00:00,n.chevalier ,101.67.95.213 ,LOGIN ,0,SID232035,IP externe suspecte
2026-01-20 08:14:17+00:00,n.chevalier ,121.28.135.54 ,LOGIN ,0,SID472255,IP externe suspecte
2026-01-20 08:23:31+00:00,f.laurent ,163.197.123.49 ,EXPORT ,0,SID925507,IP externe suspecte
2026-01-20 08:25:02+00:00,e.boyer ,184.107.148.136 ,EXPORT ,0,SID584899,IP externe suspecte
2026-01-20 08:31:00+00:00,j.dupont ,134.44.199.30 ,SEARCH ,0,SID448911,IP externe suspecte
2026-01-20 08:43:43+00:00,p.leroy ,86.38.52.148 ,LOGOUT ,0,SID564458,IP externe suspecte
2026-01-20 09:00:21+00:00,m.bernard ,103.230.137.209 ,SEARCH ,0,SID838535,IP externe suspecte
2026-01-20 09:04:02+00:00,s.durand ,132.25.167.155 ,LOGIN ,0,SID955730,IP externe suspecte
2026-01-20 09:15:13+00:00,m.bernard ,188.19.145.107 ,LOGOUT ,0,SID354098,IP externe suspecte
2026-01-20 09:28:41+00:00,p.leroy ,184.93.123.141 ,LOGIN ,0,SID820749,IP externe suspecte
2026-01-20 10:12:02+00:00,d.michel ,198.206.113.50 ,SEARCH ,0,SID135803,IP externe suspecte
2026-01-20 10:19:13+00:00,r.garnier ,80.235.22.100 ,LOGIN ,0,SID384077,IP externe suspecte
2026-01-20 10:22:15+00:00,f.laurent ,87.138.75.107 ,LOGOUT ,0,SID458451,IP externe suspecte
2026-01-20 10:23:36+00:00,f.laurent ,89.112.4.63 ,LOGOUT ,0,SID734427,IP externe suspecte
2026-01-20 10:30:19+00:00,s.durand ,101.42.222.179 ,LOGOUT ,0,SID791549,IP externe suspecte
2026-01-20 10:31:51+00:00,d.michel ,139.41.104.211 ,LOGIN ,0,SID574326,IP externe suspecte
2026-01-20 10:34:53+00:00,d.michel ,103.217.84.49 ,LOGOUT ,0,SID138710,IP externe suspecte
2026-01-20 10:35:07+00:00,p.leroy ,97.104.192.148 ,SEARCH ,0,SID185704,IP externe suspecte
2026-01-20 10:35:17+00:00,p.leroy ,135.24.4.227 ,EXPORT ,0,SID966082,IP externe suspecte
2026-01-20 10:39:43+00:00,n.chevalier ,93.233.231.210 ,EXPORT ,0,SID188503,IP externe suspecte
2026-01-20 10:50:39+00:00,n.chevalier ,175.17.62.85 ,EXPORT ,0,SID408556,IP externe suspecte
2026-01-20 11:09:08+00:00,a.martin ,153.209.158.106 ,EXPORT ,0,SID119179,IP externe suspecte
2026-01-20 11:11:36+00:00,d.michel ,192.104.7.7 ,LOGIN ,0,SID535090,IP externe suspecte
2026-01-20 11:17:22+00:00,s.durand ,92.235.79.5 ,LOGIN ,0,SID718310,IP externe suspecte
2026-01-20 11:31:07+00:00,f.laurent ,141.108.19.50 ,EXPORT ,0,SID483828,IP externe suspecte
2026-01-20 11:32:47+00:00,a.martin ,110.27.163.40 ,LOGOUT ,0,SID551059,IP externe suspecte
2026-01-20 11:33:45+00:00,p.leroy ,130.62.20.142 ,LOGIN ,0,SID595119,IP externe suspecte
2026-01-20 11:36:56+00:00,f.laurent ,198.22.251.218 ,LOGIN ,0,SID581879,IP externe suspecte
2026-01-20 11:42:46+00:00,p.leroy ,105.76.5.165 ,LOGIN ,0,SID334553,IP externe suspecte
2026-01-20 12:14:44+00:00,j.dupont ,120.63.188.64 ,LOGOUT ,0,SID567909,IP externe suspecte
2026-01-20 12:31:58+00:00,t.simon ,188.6.218.209 ,LOGIN ,0,SID799043,IP externe suspecte
2026-01-20 12:38:29+00:00,d.michel ,133.136.56.174 ,EXPORT ,0,SID851456,IP externe suspecte
2026-01-20 12:46:39+00:00,j.dupont ,105.155.25.241 ,LOGOUT ,0,SID800509,IP externe suspecte
2026-01-20 12:54:24+00:00,l.moreau ,157.203.70.142 ,LOGIN ,0,SID469438,IP externe suspecte
2026-01-20 12:56:32+00:00,e.boyer ,112.176.90.74 ,EXPORT ,0,SID892745,IP externe suspecte
2026-01-20 13:03:39+00:00,d.michel ,183.211.15.140 ,LOGIN ,0,SID522842,IP externe suspecte
